DPD90_12m;customer_type;product_type_zart;product_type_nyilt;onero;age_of_asset (honap);sales_channel_dealer;sales_channel_hitelpont;sales_channel_hiteliroda;Nace_low;Nace_medium;Nace_high
0;1;1;0;-1,263755643;2,028618731;1;0;0;0;1;0
0;1;1;0;0,314896192;-0,058964427;1;0;0;0;1;0
0;1;1;0;-0,474429725;0,133735557;1;0;0;0;1;0
0;1;1;0;1,127901886;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;2,540795278;-0,540714387;1;0;0;1;0;0
0;0;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,812960845;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,784545112;0,551252188;1;0;0;0;1;0
0;1;1;0;3,424840305;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,197452266;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;0;1
0;1;1;0;-0,079766767;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,40803665;-0,540714387;1;0;0;1;0;0
1;1;1;0;-1,263755643;2,67095201;1;0;0;0;1;0
0;1;1;0;-0,598353894;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,176853855;0,8081855;1;0;0;1;0;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;0;1;0;-0,695440982;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,764901663;1,482635443;1;0;0;0;0;1
0;1;1;0;0,265168659;-0,540714387;1;0;0;1;0;0
0;1;1;0;3,141472301;1,065118812;0;0;1;0;0;1
0;1;1;0;0,189393371;2,542485354;1;0;0;0;0;1
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;1;1;0;0,410404628;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,76954792;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,000834175;1,033002148;1;0;0;1;0;0
0;1;1;0;-0,208426891;-0,540714387;1;0;0;1;0;0
0;0;1;0;0,655095662;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;0,230085549;1;0;0;0;1;0
0;1;1;0;-1,263755643;1,964385403;0;1;0;1;0;0
0;1;1;0;-0,854095492;-0,251664411;1;0;0;1;0;0
0;1;1;0;-0,764901663;4,341018536;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,314896192;2,221318714;1;0;0;1;0;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,869092684;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;0,743952172;0;1;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;1,386285451;0;0;1;0;1;0
0;0;1;0;2,91730374;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;1,482635443;1;0;0;1;0;0
0;1;1;0;-0,727803345;4,854885159;1;0;0;1;0;0
0;1;1;0;1,104222109;2,028618731;0;1;0;1;0;0
0;1;1;0;-0,474429725;1,193585467;0;0;1;1;0;0
0;1;1;0;-0,140544863;2,060735394;1;0;0;1;0;0
0;1;1;0;-0,869092684;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,000834175;-0,540714387;1;0;0;0;0;1
0;1;1;0;-0,169749921;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;0;1;0;3,128843086;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;2,601573373;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,401022415;0,165852221;1;0;0;1;0;0
1;0;1;0;-0,000834175;-0,540714387;1;0;0;0;0;1
0;0;1;0;1,090803568;3,281168625;1;0;0;1;0;0
0;0;1;0;-0,000834175;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;1,12935214;0;0;1;0;1;0
0;1;1;0;0,196497304;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,000834175;1,803802083;0;0;1;0;1;0
0;0;1;0;2,682873943;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,592039287;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,764112337;-0,540714387;1;0;0;1;0;0
1;0;1;0;-0,474429725;3,184818633;1;0;0;0;1;0
0;0;1;0;-0,000834175;2,221318714;0;0;1;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;2,160340186;-0,540714387;1;0;0;0;0;1
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;0;1;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;1,450518779;1;0;0;1;0;0
0;1;1;0;0,314896192;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;1,12935214;1;0;0;0;0;1
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;0;1;0;-0,023724627;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,000834175;0,776068836;1;0;0;0;0;1
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;0,519135524;0;0;1;1;0;0
0;1;1;0;1,408112587;-0,540714387;1;0;0;0;1;0
0;0;1;0;1,104222109;-0,540714387;1;0;0;1;0;0
0;0;1;0;-0,651238731;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,561955204;5,208168463;1;0;0;1;0;0
0;1;1;0;-0,000834175;1,097235476;0;1;0;0;0;1
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,314896192;0,133735557;1;0;0;0;0;1
0;1;1;0;-0,000834175;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,576252769;-0,540714387;1;0;0;1;0;0
0;0;1;0;-0,201322958;2,317668706;1;0;0;1;0;0
0;1;1;0;-0,459432533;-0,540714387;1;0;0;0;0;1
0;1;1;0;1,219463693;1,707452091;1;0;0;1;0;0
0;1;1;0;-0,474429725;3,249051961;0;0;1;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,399443763;2,253435378;0;1;0;0;1;0
0;1;1;0;1,258929988;-0,540714387;1;0;0;0;0;1
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;0;1
0;1;1;0;2,840739126;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,800421329;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,314896192;1,193585467;0;0;1;1;0;0
0;0;1;0;-0,000834175;1,771685419;0;0;1;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,051426971;0,872418828;0;0;1;1;0;0
0;0;1;0;0,919519844;-0,540714387;0;1;0;1;0;0
0;1;1;0;1,893548026;0,551252188;0;0;1;0;1;0
0;1;1;0;-0,869092684;1,643218763;0;0;1;1;0;0
0;1;1;0;-1,263755643;2,34978537;1;0;0;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;0,8081855;0;0;1;1;0;0
0;1;1;0;-0,330772409;-0,380131067;1;0;0;0;1;0
0;1;1;0;-1,193505636;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,98029794;-0,380131067;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;1,000885484;0;0;1;1;0;0
